DAY,6-9am,12-3pm,6-9pm
(MON)18/11,143,377,215
(TUE)19/11,322,335,284
(WED)20/11,302,352,243
(THU)21/11,311,324,246
(FRI)22/11,341,373,147
(SAT)23/11,418,433,306
(SUN)24/11,147,223,153
