DAY,6-9am,12-3pm,6-9pm
(MON)18/11,124,315,179
(TUE)19/11,115,308,177
(WED)20/11,138,321,140
(THU)21/11,205,347,161
(FRI)22/11,153,361,124
(SAT)23/11,126,368,93
(SUN)24/11,134,366,54
