DAY,6-9am,12-3pm,6-9pm
(MON)18/11,84,45,217
(TUE)19/11,96,37,244
(WED)20/11,24,29,183
(THU)21/11,67,16,212
(FRI)22/11,82,14,361
(SAT)23/11,235,211,318
(SUN)24/11,247,203,283
